Tweet,Actual_Sentiment,Predicted_Sentiment
Which Indian Athletes &amp; New Athletes Are You Looking Forward This Commenwealth Games 2022 ? #AskExperts @Sanjay_onair @iSunilTaneja @ramanbhanot @SportifiedSid @manishbatavia  @thukraltales @thearpitsharma  #CWG2022 @birminghamcg22  @virenrasquinha @PathakRidhima,neutral,neutral
Who says girls are weak?  #MirabaiChanu wins gold at #CWG2022 by lifting 201kg.  History is created...  #Mirabai_chanu #CWG2022India  https://t.co/Dyth7kTSpt,positive,positive
#CWG2022    भारतीय खेळाडूंना प्रोत्साहन देण्यासाठी तुम्हीही पुढाकार घ्या.   Tag &amp; Tweet your unique way of cheering for India 🇮🇳 at #CWG2022 !    @YASMinistry,positive,positive
"#RepublicExclusive | '#NeerajChopra missing #CWG2022 could be blessing in disguise', feels veteran wrestler Yogeshwar Dutt  More:  https://t.co/a3aDDSi7mk",positive,negative
Olympic medallist Lovlina Borgohain was left stranded for an hour 🕑 after the Commonwealth Games 2⃣0⃣2⃣2⃣ opening ceremony 🎆  Read here⤵️  #CWG2022 🏅 #B2022 🇬🇧 #CommonwealthGames2022    https://t.co/dxoC5sl6Z9,neutral,neutral
"Neeraj Chopra CWG 2022: नीरज चोपड़ा कॉमनवेल्थ गेम्स से बाहर, चोट के कारण नहीं ले पाएंगे हिस्सा #NeerajChopra #CWG2022   https://t.co/b9zTrgVo4b",neutral,neutral
"बधार्ई हो मीरा बाई चानू ने #CWG2022 में जीता गोल्ड,अपने पहले प्रयास में उठाया 109 किलो वजन! जय हिंद 🇮🇳",neutral,neutral
"#CWG2022 #B2022   🧵 A thread of stories that @SamreenRazz, @shahidthejudge, @DilipUnnikrishn, @aditya_c19 &amp; I have worked on in the weeks leading up to the Commonwealth Games. Please do take a look if you are interested in knowing a bit more about the Indian contingent.",positive,positive
Australia need 43 off the last 5 overs. Who's winning this? #AUSvsIND | #CWG2022,positive,positive
Nida Dar is the first player to bat as well as bowl 100+ innings in T20I cricket (men/women). #CWG2022,positive,positive
Another Gold For India . #Jeremylalrinnunga won the 2nd Gold 🥇 for India . This 19 year boy from Mizoram Created History. Lift total 300kg in 67 category in #weightlifting. True Champion. You are proud of our Country champ.  #CWG2022 #B2022  https://t.co/ZkPxSODreg,positive,positive
"#India bags 3rd #GoldMedal 🥇 in #CWG2022, 🇮🇳 👏🏻👏🏻 with 20y.o Achinta SHEULI in 73kg #weightlifting, creating new #GamesRecord in both Snatch &amp; Total weight. He lifted a total of 313kg (Snatch-143kg + Clean&amp;Jerk-170kg), 10kg more than the #Malaysian winning Silver. #CWG2022  https://t.co/MXa29Mxv1n",positive,positive
#CWG2022 #Birmingham2022 #CommonwealthGames2022    Medal favourite @Neeraj_chopra1 ruled out with injury  #NeerajChopra had won a silver medal at the #WorldAthleticsChampionships  and suffered a strain in his groin during the competition  Full Story 👉  https://t.co/8eG0vDhmDQ  https://t.co/YkZxBjprk6,positive,positive
Breaking News @Neeraj_chopra1 is out of #CWG2022 due to an injury.,negative,negative
India's ace weightlifter @mirabai_chanu  has made all of us proud in clinching our first gold medal 🥇 at the #CommonwealthGames 2022 in the Women's 49kg category.  An exceptional start to our journey at #CWG2022 🇮🇳!  https://t.co/8c7xR2OdPG,positive,positive
@_FaridKhan Medals won by asian teams till now in #CommonwealthGames22   India 🇮🇳 - 5 🥇🥇🥈🥈🥉 Malaysia 🇲🇾 - 3 🥇🥇🥉 Singapore 🇸🇬 - 1 🥈 Sri lanka 🇱🇰 - 1 🥉 Pakistan 🇵🇰 - 0 🦆  Pakistan men's hockey team &amp; women's cricket team are now OUT of medal race  #CWG2022 #Birmingham2022 #INDvPAK,positive,positive
काॅमनवेल्थ गेम्स 2022 में भारत का दूसरा मेडल...!!  वेटलिफ्टिंग में श्री पी.गुरुराजा ने कांस्य पदक जीता।   हार्दिक बधाई।  #CWG2022  https://t.co/C5IwSUAZbE,neutral,neutral
#CWG2022  #B2022  #Birmingham2022 #TeamIndia   @birminghamcg22 Commonwealth Games begins with a spectacular opening ceremony   READ:  https://t.co/Cuk3lGLa94  https://t.co/SDPCPLpbxC,neutral,neutral
#TeamIndia highest score in each format 👍👍 and which is your remarkable match 😍😍. #RohitSharma𓃵 l #ViratKohli  #INDvPAK l #WivsInd l #IndvsWI  #2ndT20I l #EkIndiaTeamIndia  #CWG2022 l #CWG2022India  https://t.co/jN96UFtvpi,positive,neutral
संकेत सरगर ने दी पहली प्रतिक्रिया  #SanketSargar #CWG2022 #CommonwealthGames2022    https://t.co/lcGjYLfi3Q,neutral,neutral
Unreal choking by India women #CWG2022,negative,neutral
"CWG 2022: દેશની આશાઓને લાગ્યો ઝટકો, ઈજાગ્રસ્ત થતા કોમનવેલ્થ ગેમ્સમાંથી બહાર થયા નિરજ ચોપડા #CWG2022 #CommonWealthGames2022 #NeerajChopra #OneindiaGujarati    https://t.co/8j5IQ3nmZ7",neutral,neutral
"लवलीना @LovlinaBorgohai की कोच संध्या को तो अक्रेडिटेशन मिल गया, लेकिन अब इसका असर पूरी टीम पर पड़ने वाला है. लवलीना की कोच को अक्रेडिटेशन दिलाने के लिए असोसिएशन को टीम के डॉक्टर करणजीत सिंह का कार्ड रद्द करना पड़ा है. #LovlinaBorgohain #CWG2022   https://t.co/XutdttvB6K",neutral,neutral
#achintasheuli for gold!!! 🥇what a champion!! Remember the name!! #GoldMedal #CWG2022 #CWG2022India,positive,positive
Srihari Nataraj booked his place in the finals of the men's 50m backstroke event as Sajan Prakash finished ninth in the men's 200m butterfly at the Birmingham Commonwealth Games  #CWG2022  https://t.co/tkQioAYm60,neutral,neutral
Thanks God. Our work speaks 👍  Nadeem's Tailors &amp; Fabrics (Men Suits and Ladies Dresses) 0333 5101741  https://t.co/LEQU7QOU0H.g #Olympics #CommonWealthGames2022  #pakistanolympicassociation  #poa #nadeemstailors #CWG2022 #3piecesuit #slimfit #tailoring #bespoke #fashion #tailor  https://t.co/EmxeUtwwrq,positive,positive
"Of the 502 medals won by India at #CommonwealthGames so far, more than 71 per cent of them have come in three events - #Shooting, #Weightlifting &amp; #Wrestling. 2010 #CWG proved to be the best games, with #India’s medals tally crossing the 100 mark for the first time. #CWG2022  https://t.co/EsNhrarYnu",positive,positive
"@nitin_gadkari Heartiest congratulations to #SanketSargar for winning the Silver in 55kg weightlifting at Commonwealth Games 2022.  Despite getting injured, #YuvaShakti Sanket has brought the first medal for Team India at #CWG2022.  Well Done Champion!   #Weightlifting #CWG2022India  https://t.co/YzTBg2shFO",positive,positive
Thank you Birmingham. What an opening ceremony 👏  @TeamEngland  Let the games begin 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #cwg2022  https://t.co/tcJ986FrCP,positive,positive
Sri Lankan athletes hope to raise morale back home with sporting success at #Birmingham2022  #CWG2022 #BirminghamCommonwealthGames    By @jestalt   @news9_sports    https://t.co/M4nDKeVrUK,positive,positive
the British empire was really just playing monopoly with the world map #CWG2022,positive,positive
#CWG2022 #Birmingham22 #B2022  Commonwealth Games opening ceremony starts at 11:30 pm IST  Follow for live updates:  https://t.co/tR2f9ese8S,neutral,neutral
কমনৱেলথ গেমছৰ কোৱাৰ্টাৰ ফাইনেলত লাভলিনা বৰগোহাঁই ।  #lovlinaborgohain #CWG2022 #Assam #India  https://t.co/pDAfIX3DE4,neutral,neutral
That smile says it all! ❤ I was just watching her in awe. She's literally her own competition.  88kg successful attempt is still her best despite she couldn't lift her goal- 90kg. You go girl. On to the clean and jerk. #CWG2022  https://t.co/RkCBYpk6DY,positive,positive
100-medal mark in #Birmingham seems like a distant dream for #India  Read:  https://t.co/qGv53cz4td  #Birmingham2022 #CWG2022  https://t.co/pmABebtpSh,positive,positive
"#MAS 🇲🇾 3 - 0 #RSA 🇿🇦  🇲🇾 Goh Jin Wei 21-5, 21-4 🇿🇦 Johanita Scholtz  #CWG2022 #B2022 #DemiMalaysia #BadmintonMalaysia #Badminton  https://t.co/ZYshhNMQHS",neutral,neutral
I like the injury protocols put in place in the weightlifting at the #CWG2022 The officials were quick to come and put the cover out in front of the player just in case of serious injury,negative,negative
पी. गुरुराजा जी को #CWG2022 वेटलिफ्टिंग में कांस्य पदक जीतने पर हार्दिक बधाई। #Cheer4India  https://t.co/SyvjjcNYnk,neutral,neutral
Top Headlines  of Today  🔺Weightlifter #JeremyLalrinnunga wins the Gold medal in Men's 67kg weightlifting.  🔺India beat Pakistan by 8 wickets in the Women's T20I group-stage match in #CWG2022  https://t.co/lsdmS231Y4,positive,positive
🏋🏻‍♀️ में चौथा🏅Bindyarani Devi की चांदी🥈 🇮🇳🔥 #CWG2022,neutral,neutral
pls show the lawn bowls India is playing there @SonySportsNetwk @SonyLIV   #CWG2022,positive,positive
"CWG 2022: बिंदियारानी देवी ने कॉमनवेल्थ रिकॉर्ड के साथ जीता सिल्वर मेडल, भारत की झोली में डाला चौथा पदक @WeAreTeamIndia #BindyaraniDevi #CWG2022 #TeamIndia #CommonwealthGames #B2022   https://t.co/vbzolSL1J0",neutral,neutral
संकेत सारगर जिन्होंने दिलाया CWG 2022 का पहला मेडल   https://t.co/eEJbpFG6Zn  #SanketSargar #CWG2022 #India #weightlifting  https://t.co/vItZ50Qxs0,neutral,neutral
India Thrashed Pakistan in Badminton. #CWG2022 #Badminton,neutral,neutral
Two-time Olympic medalist 𝐏𝐕 𝐒𝐢𝐧𝐝𝐡𝐮 is India's new flagbearer at Birmingham 2022 🇮🇳💙  How excited are you for the #CWG2022 Opening Ceremony and beyond? 🤩  #BirminghamMeinJitegaHindustaHamara 🫶🏼  #B2022 #SonySportsNetwork  https://t.co/Ri9xKFRvGb,positive,positive
CWG 2022: India beat Ghana 11-0 in men's hockey Group B clash  #CWG2022  https://t.co/IV5niZ0HyU,neutral,neutral
Another member of the Indian women’s cricket team has tested positive for COVID-19 and has stayed back in the country ahead of the side’s opener against Australia in the #CWG2022 here on Friday.  The India squad left on Sunday morning for Birmingham without the two players.  https://t.co/ACJOzqwlB0,positive,positive
Now it's Achinta Sheuli who smashes the games record to win 3rd Gold 🥇 for India..  Super performance 🙏 So far the weightlifters have been doing all the weightlifting in medals for India..all 6👏  #CWG2022 #Birmingham22 #India4CWG2022 #ProudBlue22  https://t.co/ytWIMh9JGd,positive,positive
"#CWG2022: Who is Sanket Sargar Mahadev, India's silver medal winner weightlifter   Know all about him here:   https://t.co/G7Ar6MPMZp",positive,positive
Phenomenal 19-year-old #JeremyLalrinnunga from Mizoram bags second gold for India: #CWG2022 | Zee English News   https://t.co/B2yAaxjjan,neutral,neutral
आज #CommonwealthGames2022 की भारोत्तोलन प्रतिस्पर्धा में सुश्री Saikhom Mirabai Chanu ने ऐतिहासिक जीत दर्ज करते हुए माँ भारती को स्वर्ण पदक से गौरवभूषित किया है।  #CWG2022 में भारत के लिए प्रथम स्वर्ण पदक प्राप्त करने की आपको ढेरों बधाई और शुभकामनाएं!   हमें आप पर गर्व है।  https://t.co/SMasA6a6rw,neutral,neutral
"Renuka Singh Thakur, Take a bow. #TeamIndia #CWG2022   #INDvAUS #RenukaSinghThakur  https://t.co/EGrwmxByd5",neutral,neutral
"CWG 2022 MATCH 5: India vs Pakistan TEAMS: 🇮🇳:  S Meghana, Sneh Rana (IN) Harleen Deol, Rajeshwari Gayakwad (OUT) 🇵🇰: Kainat Imtiaz (IN) Nida Dar (OUT) #INDvPAK #B2022 #CWG2022  https://t.co/1EKlE3gk8T",neutral,neutral
Big news coming ahead of the commencement of the CWG.   #1XBookNews #CWG2022 #Sports #PrinceCharles    https://t.co/Pb3XIQfZFu,neutral,neutral
As easy as you like 🇮🇳's Aakarshi Kashyap dominates the first game 21-3 🔥  Let's win it 💪  #PBLIndia #Commonwealthgames #B2022 #CWG2022 #Badminton  @birminghamcg22,positive,positive
We Support Team India ! @birminghamcg22   #WINatCWG22BirCGI #WINatCWG22BirCGI🇮🇳 #Cheer4India  #IndiaTaiyaarHai #CWG2022  #AzadiKaAmritMahotsav   @CGI_Bghm  @YASMinistry @WeAreTeamIndia  @HCI_London,positive,positive
Jai ho 🇮🇳 Goosebumps moment for every Indian!  Indian 🇮🇳National Anthem plays at the venue as weightlifter 🏋️‍♀️ @mirabai_chanu wins India’s first Gold at #CWG2022!  Brilliant effort Mirabai! Congratulations! #MirabaiChanu  #CommonwealthGames #GoldMedal #Birmingham2022  https://t.co/xGnwli9IKO,positive,positive
Many congratulation to Mirabai Chanu on winning the gold medal. She give remarkable and outstanding performance. #CWG #CWG2022  #Indian #Ahleletes #Weihgtlifting #Victory #GoldMedal  https://t.co/8vV76oEXBR,positive,positive
"PM @narendramodi expresses delight over weightlifter Achinta Sheuli winning the gold medal at #CWG2022 , says he worked very hard for special achievement  The weightlifter clinched India's third gold in the #CommonwealthGames2022 on Sunday  https://t.co/DQf5GweT6H",positive,positive
#CWG2022 India get their campaign off to a smashing start as they defeat Ghana 11-0 in their first Pool B match of the Birmingham Games. Harmanpreet Singh led the attack with a hattrick #CWG2022 #CWG #Birmingham #CommonwealthGames2022   https://t.co/oiEPpko0Yr,negative,negative
शक्ति स्वरूप भारत की नारी शक्ति  मीराबाई चानू को वेटलिफ्टिंग CWG 2022 में भारत के लिए पहला गोल्ड मैडल जितने की बहुत बहुत बधाई💐  सारे भारत को आप पर गर्व है। #CWG2022  https://t.co/RnQT02zhId,neutral,neutral
#INDvPAK #B2022 #CWG2022 #CommonwealthGames2022   Welcome to the live coverage of  #India 🇮🇳 vs #Pakistan 🇵🇰 from  from Edgbaston 💥  #PAK Women win toss and opt to bat first  Two changes for #TeamIndia   Follow Live Updates:  https://t.co/huszHtPM4i,positive,positive
Birmingham 2022 Commonwealth Games | Here’s a look at the medal tally on Day 3⃣of #CWG2022 🏅  #B2022 #CommonwealthGames2022 #CommonwealthGames #India #TeamIndia #CommonwealthGames22  https://t.co/H1Jr5N097B,positive,positive
"On my part, I convey my best wishes to the Indian contingent for the Commonwealth Games 2022. I am sure that our players will make the country proud with their excellent performance. Wishing all the countrymen your victory. #CWG2022",positive,positive
"The Indian Athletes presented a picture of a unified front ahead of the Commonwealth Games 2022 in Birmingham, England  #CWG2022 #CWG2022India #India    https://t.co/A3zdrsdULW",positive,neutral
"#CWG2022 :- भारतीय महिला टीटी टीम ने जीता लगातार तीसरा ग्रुप मैच, गुयाना को 3-0 से हराया। क्वार्टर फाइनल में किया प्रवेश, पहले दो मैचों में दक्षिण अफ्रीका और फिजी को दी थी शिकस्त। @birminghamcg22  https://t.co/a3bpI5JwzS",neutral,neutral
ಕಾಮನ್‌ವೆಲ್ತ್ ಗೇಮ್ಸ್: ವೆಯ್ಟ್ ಲಿಫ್ಟಿಂಗ್ ನಲ್ಲಿ ಬಿಂದ್ಯಾ ರಾಣಿಗೆ ಬೆಳ್ಳಿ ► ಮುಂದುವರಿದ ಪದಕ ಬೇಟೆ  #CWG2022 #BindyaraniDevi #silver #India #weightlifting #medal   Read More here  https://t.co/N06cHYYsNV,neutral,neutral
"No thoughts, only England’s beam rotation 😍😮‍💨 #CWG2022",negative,negative
We’re live and on the telly! #B2022 #CWG2022 @Timeline_TV @sunsetandvine  https://t.co/keTUKCVlkN,neutral,neutral
#CWG2022 #B2022   #Boxing: Sumit has many excited. A young boxer. Indian male boxers really in need of some inspiration.,positive,positive
"@cpsingh48 This is 12 July 2018 in Tampere, Finland when Hima Das became first Indian to win a gold medal in 400 m in the World U-20 Athletics Championship  It is not the #commonwealthgames2022 #CWG2022",positive,positive
WHAT A PROUD MOMENT!   Sir @LennyHenry carries the Queen's Baton home across the finish line! 🏅🏁  #TheOneShow #CWG2022 @BBCSport @birminghamcg22 @richie_anderson  https://t.co/mMcgjOyoc9,positive,positive
"Regular Singh: Not watching #CWG2022 #IndvAus women's match but is it ""They can't play her "" kind of spell? #Cricket",negative,positive
Srihari Natraj is live now in the 100m backstroke final. C'mon India!   #Swimming #B2022 #CWG2022 🏊‍♂️,neutral,neutral
"One more #Gold in weight lifting, well done champ #jeremyLalrinnunga   #CWG2022",positive,positive
@LovlinaBorgohai #CWG2022  https://t.co/jlWG0HaVpr,neutral,neutral
"This is so embarrassing! Again, this isn't the athlete's fault. It's the fault of those who sent him there. A 40-year-old gymnast? Is this for real? Please stop humiliating yourself further and resign! #CWG2022    https://t.co/XWE1WXPMBq",negative,positive
"मीराबाई चानू ने राष्ट्रमंडल खेलों 2022 का भारत का पहला स्वर्ण पदक जीता, महिलाओं की 49 किग्रा भारोत्तोलन फाइनल जीता। #CWG2022 #goldmedalindia @Live_Gyan",neutral,neutral
Nobody does sporting VTs like the BBC #CWG2022 #B2022 #OpeningCeremony,positive,positive
Pakistan Womens in #CWG2022 so far.. 😂 #INDvPAK  https://t.co/pe0LNALsDq,neutral,neutral
Jeremy Lalrinnunga - WHAT A FIGHTER. GOLD in #CWG2022.  Absolute beast. Lifted all 3 C&amp;J attempts in injury. Top fighting spirit and character.  Take a bow!  #India4CWG2022 #weightlifting #goldenboy,negative,positive
#CommonwealthGames | Indian women's Cricket team lost to Australia by 3 wickets. Indian women's table tennis team beat South Africa 3-0 Boxing: Shiva Thapa won his men's 63.5kg Round of 32 bout against Pakistan's Suleman Baloch. #CWG2022 | #Cheer4India🇮🇳 |  https://t.co/pgnFfusl6T,positive,positive
बर्मिंघम में आयोजित 22वें राष्ट्रमंडल खेलों में भारत को जिम्नास्टिक्स में भी पदक जीतने की उम्मीद दिख रही हैं। भारतीय जिम्नास्ट योगेश्वर सिंह राष्ट्रमंडल खेलों में ऑल राउंड मुकाबले के फाइनल में अपनी जगह बनाने में सफल हो गए हैं। #Gymnastics #CWG2022    https://t.co/MjZe1Pgqmq,neutral,neutral
"In a statement, she said that one of her coaches was sent back to India, while the other was barred access to CWG village.  #CWG2022 #CommonwealthGames2022   https://t.co/bbABltBQwR",neutral,positive
Great performance by boxer Sagar Ahlawat on his India debut; advances to super heavyweight quarter-finals with 5-0 UD win. #CWG2022,positive,positive
Mirabai Chanu just makes it look so easy  #CommonwealthGames #MirabaiChanu #CWG2022  https://t.co/aYFZT9SRPR,positive,positive
"CWG 2022: PV Sindhu, Manpreet lead Indian contingent as Birmingham Games open with dazzling opening ceremony #CWG2022 #CWG #CommonwealthGames #Birmingham2022 #Birmingham   https://t.co/4XYwe8rKgz",neutral,neutral
"Mirabai Chanu, July 30, 8:15PM Jeremy Lalrin, July 31, 2:15PM  Thank me later.  #CWG2022",positive,positive
कॉमनवेल्थ गेम्स 2022 में वेटलिफ्टिंग इवेंट के 49 किलो भारवर्ग में भारत के लिए गोल्ड मेडल जीतने पर मीराबाई चानू को हार्दिक बधाई एवं शुभकामनाएं।  आप विश्व पटल पर भारत का नाम ऐसे ही रोशन करते रहें यहीं कामना।  #CWG2022  https://t.co/X8YsONdsuH,neutral,neutral
ENG 0 SGP 2  LKY won comfortably against Penty 21-12 21-12. Can Jia Min finish off the tie for SGP?  (Just realized that the other commentator is Chris Adcock.)  #CWG2022  https://t.co/P2oPAmK4aD,positive,positive
#CWG2022 #AUSvIND #B2022  CWG 2022: Renuka's sensational spell goes in vain as Australia bounce back to win opener  Report:  https://t.co/0P51GjG5km  https://t.co/PPEabxjxHs,positive,positive
One more gold for India at #CWG2022. This time from Jeremy Lalrinnunga in the category of weightlifting.   Great going by India!  https://t.co/Y68zcCYJyB,positive,positive
#DidYouKnow   Roopa Unnikrishnan became the first Indian woman to win a gold medal at the #CommonwealthGames in 1998.  #CWG2022 #JagranSports  https://t.co/GWWjepQght,positive,positive
It is the 2nd Gold &amp; 5th Medal for at Birmingham ! #Commonwealth Games #Cheer4India 19 - year - old Jeremy Lalrinnunga WINS GOLD on his DEBUT at #CWG2022 !  https://t.co/WxBmOTa3yD,positive,positive
🏏🔊 LISTEN TONIGHT 9pm: @GuildfordCC @ollybirts13 on ex-teammate &amp; @surreycricket star @Wjacks9  Former @Middlesex_CCC @butcher_roland  @bbctms @norcrosscricket &amp; @Gelwiss on @KempFreya @AliceCapsey #CWG2022  @wimbledoncrick Jon Speller &amp;  @SurreyChamp review  https://t.co/CghXthkddp,neutral,neutral
🇮🇳 team in Birmingham 🤝 🇮🇳 teams in Chennai Whitewash ✅  #ChessOlympiad #CWG2022,neutral,neutral
First Medal for India in #CWG2022 as SanketSargar won silver 🥈 medal Anything to make the nation proud   #CWG2022 #CWG2022India #SanketSargar #SanketMahadevSargar  https://t.co/qG2udLOpnu,positive,positive
"Malaysia's Aniq Kasdan bagged the gold medal with a combined lift of 249 kg, while Sri Lanka's Dilanka Kumara clinched bronze with 225 kg.   #CommonwealthGames2022 #CWG2022",positive,positive
#CWG2022: India beat Pakistan by 8 wickets in women's cricket Group A clash. Brilliant knock by #SmritiMandhana 🔥👏  #INDvPAK  https://t.co/ChmidxaQo2,positive,positive
"Can’t wait for the #CWG2022 to start tomorrow in Birmingham, but one thing I can’t understand is why every CWG worker/volunteer I’ve seen and spoken to has come from outside the Midlands? I know people who’ve driven from Kent to work the games, how is that net zero?",neutral,positive
Congratulations #JeremyLalrinnunga for Wining #GoldMedal in #CWG22   5th overall medal from #CWG2022   #weightlifting #Jeremy  https://t.co/Kob6yeor66,positive,positive
भारतीय महिला क्रिकेट टीम को बहुत बहुत बधाइयाँ। उन्होंने #CWG2022 में क्रिकेट के अपने दूसरे मैच में पाकिस्तानी टीम को धूल चटा दी। हमारी वीरांगनाओं को आने वाले मुकाबलों के लिए शुभकामनाएं।  https://t.co/nfmHGE1y8G,neutral,neutral
We are proud for you mam👏 #CWG2022,positive,positive
A 𝘴𝘩𝘶𝘣𝘩 Sanket &amp; 🇮🇳's off the mark at #CWG2022! 👌  Congratulations to #SanketSargar for winning a 🥈 in Men's 55 Kg category in #Weightlifting! 🙌  #B2022 #Birmingham2022  https://t.co/mWxQhr8lJg,positive,positive
@insanshobha Congratulations 🎉#SanketSarger on the victory in #CWG2022,positive,positive
#CWG2022 🏸 mixed team event knockout stage  SGP will face SCO in the QF tonight at 12.30am SGT.  Key match in SCO vs. SGP: Gilmour vs. Jia Min (WS). SCO has decent doubles too so it should be a cracking tie.  Line-up prediction: unchanged from ENG tie.  https://t.co/jSVj3wS7j5,neutral,positive
लोहा उठा के चाँदी का तमग़ा ~ सालों की मेहनत और लगन से पाई है ! हार्दिक बधाई संकेत सरगर 💐👏  #CWG2022,neutral,neutral
#MirabaiChanu wins gold in #CWG2022,positive,positive
Our little operation @thenec for the Commonwealth Games. Starts Thursday @Timeline_TV #cwg2022 #B2022  https://t.co/c4TOhrvFIb,neutral,neutral
CWG: Medal Alert 🚨 :  2nd medal for India; Gururaja Poojary wins Bronze medal in Weightlifting (Men's 61kg) after lifting 269 kg ( 118kg in Snatch + 151 kg in C&amp;J).    👉 Gururaj had won Silver medal in last edition (56kg).  #CWG2022  https://t.co/HTO8M3Gzi8,positive,positive
कॉमनवेल्थ 2022 में भारत के लिए प्रथम स्वर्ण पदक जीतकर इतिहास रचने वाली भारोत्तोलक #मीराबाई_चानू को बहुत-बहुत बधाई हो एवम उज्ज्वल भविष्य के लिए मंगलकामनाएं।  #CWG2022  https://t.co/3NfvKL4t9M,neutral,neutral
Rankireddy – Ponappa give India 1-0 lead over Sri Lanka in mixed event🏸  #CWG2022 #B2022 #badminton #CommonwealthGames #commonwealthgames2022  https://t.co/X6t3P9Uiov,neutral,neutral
Badminton mixed team Group A - India 5-0 Sri Lanka #CWG2022,neutral,neutral
राष्ट्रमंडल खेलों के पहले भारतीय दल की मुसीबतें कम होने का नाम नहीं ले रही है। भारत की दो एथलीट धनलक्ष्मी और ऐश्वर्य बाबू के बाद अब भारत की एक ओर महिला एथलीट डोपिंग में पाॅजिटिव पायी गयी है। #Athletics #Doping #CWG2022    https://t.co/whfOx9deAj,neutral,neutral
Many Congratulations Mirabai @mirabai_chanu for winning First Gold 🥇 for #TeamIndia 🇮🇳  #Cheer4India  #CWG2022 .  https://t.co/f9un0zRqNv,positive,positive
@insan_honey Congratulations Ruhani DiDi Ji !! Incredible performance! 🇮🇳  #CommonwealthGames2022   by #SanketSargar and #GuruRajPoojary  #CWG2022  https://t.co/84AMcw9SZd,positive,positive
Mirabai Chanu GOLD 🥇  #CWG2022,neutral,neutral
Resolve entry of Lovlina's coach at earliest  #anuragthakur @ianuragthakur @LovlinaBorgohai @WeAreTeamIndia @IndiaSports #LovlinaBorgohain @thecgf @birminghamcg22 #CWG2022 #TeamIndia #hindustanmerijaan #Awazthevoice   https://t.co/ezLZNGahuz,positive,neutral
Popy finished the event at 7th position. This is #TeamIndia's first game without a medal in the game of #B2022 #PopyHazarika #Weightlifting #CWG2022,negative,positive
"#SCOvNZ #CWG2022 5-5 draw should feel like a result for Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿 after a great game, but can’t but feel gutted having led 5-1 😩🏑",positive,positive
MEDAL No. 2⃣  FOR TEAM INDIA 🇮🇳🇮🇳  Heartiest congratulations to P. Gururaja for winning the #BronzeMedal in 61 kg #Weightlifting at #CWG2022.  KUDOS Champion!!!  #CWG2022India #Cheer4India  https://t.co/gV9akfsoHY,positive,positive
CWG 2022: Boxer Shiva Thapa crashes out after loss to Scotland's Reese Lynch  #CWG2022 #ShivaThapa #boxing  https://t.co/rr51NsGJXP,negative,negative
sanjeet kumar against faiogail #Boxing #CWG2022,neutral,neutral
Team Bahamas #CWG2022 @BAHNOC  https://t.co/BZUmc6vwud,neutral,neutral
"Karnataka's Gururaja Poojary bags 2nd medal for India on the 2nd day of #CWG2022, a bronze, in the men's 61kg category.  Indian weightlifters leading the way🙌  #CommonwealthGames | #India4CWG2022 #weightlifting #Birmingham2022 #BirminghamMeinJitegaHindustanHamara  https://t.co/cdYBcc2Iz1",positive,positive
"'Exceptional': #MirabaiChanu wins #gold at #CWG2022, shatters own record I 'Makes #India proud'  https://t.co/Sn7DYJw8Ts",positive,positive
कॉमनवेल्थ गेम्स 2022 के दूसरे दिन (30 जुलाई) भारत का शेडयूल।  #CWG2022 #CommonwealthGames #TeamIndia #B2022  https://t.co/Ztx1nuKoSq,neutral,neutral
Hearty Congratulations to Bindyarani Devi on winning a silver medal in the #weightlifting Women's 55 kg event in #B2022. #CWG2022  Hearty Congratulations India. Your daughters are making you proud.  https://t.co/Yh2jkClIP7,positive,positive
Indian women's cricket team beat Pakistan women's cricket team by 8 wickets in #CommonwealthGames2022  #IndvPak| #TeamIndia |  | #B2022 | #CWG2022,neutral,neutral
महिला 49 किग्रा भारोत्तोलन फाइनल में #CWG2022 में भारत के लिए पहला स्वर्ण पदक जीतने के लिए @mirabai_chanu को हार्दिक बधाई।,neutral,neutral
காமன்வெல்த் போட்டிகளில் தடை செய்யப்பட்ட ஊக்கமருந்தை பயன்படுத்தியதாக மற்றொரு இந்திய வீராங்கனை மீது குற்றச்சாட்டு  #CWG2022 #Dopetest #tamilhindustantimes #hindustantimestamil #HTTamil #TamilHindustanTimes   https://t.co/LZfWeZNeiT,neutral,neutral
@insan_honey Congratulations 🌷🌷🥰🥰  #CWG2022,positive,positive
#JeremyLalrinnunga wins GOLD at #CWG2022 #CWG2022India #CommonwealthGames2022,positive,positive
Jeremy Lalrinnunga lifts 136 kg in his first snatch attempt - highest in the category till now #CWG2022,neutral,neutral
Here’s Sri Lanka Women Cricket team’s fixtures at Commonwealth Games #CWG2022 #B2022   @flysrilankan  – Travel Partner  More 👉  https://t.co/WSIQwawSCp  https://t.co/Wm9TLQoogJ,neutral,neutral
2nd GOLD medal for India 🔥  Congratulations @raltejeremy Congratulations India  #CommonwealthGames2022 #CWG2022  #CWG2022India  https://t.co/eUbC4Ftrmd,positive,positive
Congratulations #MirabaiChanu for winning Gold in #CWG2022 .. Proud moment,positive,positive
