title,bounty,coins,company,status,description,time
Extract floor plan layout from images [Machine Vision],$100.00,"10,000",JerrySandnes,Open,"I have floor plan images I would like digitised into a simple json-based format using rectangles. Data structure The data structure is as follows: • Lines are the walls. Each line has two points (vertices) at each end, as well as a width. • Vertices are points that connect lines. Each line has two and only two vertices. A line can share a vertice with other lines. • Holes are elements connected to lines. You only need to worry about the holes with ""door"" and ""window"". Holes can have variable width, so you can have a 60cm wide window/door, or a 120cm window/door. • You can use the following tool to test the files: https://cvdlab.github.io/react-planner/ Additional info / clarifications • Handle all doors as a single door element (aka ""type"": ""door"") with a width that matches the whole door. • Handle all windows as a single window element (aka ""type"": ""window"") with a width that matches the whole window. • For the walls - prefer simplicity over complexity. If there ...",due 3 months ago
"""Flur"": Train with a role play web app, between a user and an AI",$90.00,"9,000",IvanLitovsky,Open,"CONTEXT Tomas (my friend, and ex-boss) is working on a series of articles about men-women relationships (he has 300k twitter followers). it turns out that ""dating coaching"" is a big market. there are countless books, newsletter, youtube videos, or even real-life coaches. There are several dating pains 1/ how to approach strangers 2/ how to get a number 3/ how to close a first date 4/ how to go from a date to a relationship etc... GOAL help with the 1st pain: train men on how to approach strangers. We want to do that by building a ""role play app"", where we can put men in different scenarios (ex. a women is in a coffee shop reading a book), and the man can try to approach the woman. If he hasn't been kicked out after 2 min, he wins. an AI will play the girl the user will play the man the user will have 2 minutes to engage a conversation with the girl, and not be pushed back We want to build a small MVP, and Tomas will share it to his community, to quickly have users and feedbacks. We'l...",due 1 month ago
Create Astro integration for Kontent.ai headless CMS,$90.00,"9,000",ondrejch,Open,"Create an integration module for Kontent.ai which instantiate JavaScript client and fetch the data from Kontent.ai headless CMS using the REST delivery API and map them to Astro components defined in the config. Resources Official integration integration guide and use Kontent.ai Delivery SDK. Similar integrations using the same approach: StoryBook integration Contentful integration Netlify CMS integration Docs on how to use Kontent.ai APIs in Javascript For development, it is possible to use shared project with environment ID: 975bf280-fd91-488c-994c-2f04416e5ee3, or create a copy of this project using the trial/developer plan subscription on Kontent.ai app and then use Sample site configuration for generating the copy of the sample project. Acceptance Criteria Use X-KC-SOURCE header for client configuration tracking: Publish on NPM to be included in the Astro integration library Include a simple showcase using the sample project (Environment ID) 975bf28...",due 4 months ago
POST Facebook API,$45.00,"4,500",zimamedia,Open,I am trying to use the Facebook API to add assign a 3rd party user into another facebook ads account. Acceptance Criteria Using our Facebook APP to successfully add a user to the API. I need the structure of the API call using the Facebook Graph API explorer. Technical Details You can update an AdAccount by making a POST request to /act_{ad_account_id}/assigned_users. Parameters tasks = array | AdAccount permission tasks to assign this user user; UID | Business user id or system user id (Required) Link to Project Here's the link to the API document. https://developers.facebook.com/docs/marketing-api/reference/ad-account/assigned_users/,due 1 day ago
"Automate Docusign Signature Placement Based on ""Signature:________"" Text Location",$45.00,"4,500",ExultAI,Open,"We use Docusign for quotations top our customers that they sign to start the process of us having their order produced and shipped to their location. Each time we're having to manually setup the fields [SIGNATURE], [NAME], [TITLE] because the number of pages in our document changes, and our signature page isn't always on the last page. Acceptance Criteria Convince me you know how to attached a field to a specific text chunks location no SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS Technical Details I need to place a [SIGNATURE], [NAME], and [TITLE] field for the only two signers on the document so that they are properly aligned with the ""Signature:"", ""Name: "" and ""Title:__"" text found in our document. This text chunk will always be the same, simple ""Customer Signature"" and those three texts quoted above each on a new long follow but ""Out Companies name"" and a duplicate of those three fields identical text below that. The signer for our company will always b...",due 3 months ago
iOS/SwiftUI Daily Task That Must Run (Background Tasks/Silent Push Notifications),$45.00,"4,500",basselalesh,Open,"I have a SwiftUI application that needs to tell my backend my location once a day. I have a background task set up, but it never seems to be called. I'm having a hard time testing and fixing the following flow. The background task fetches the user's location and determines the closest city from a local geoJSON file (I don't want to send coordinates to my server). It then sends the name of that city to my backend. The authorization is ""When In Use"", so I can't use the locationDidUpdate method that comes with CoreLocation. The problems I'm having are from reliably scheduling a background task that runs daily, not really with location. I also have silent remote push notifications, but for some reason not all users receive them. To avoid requiring Always Allow location access, I'm looking into using IPInfo API and just getting rough coordinates from there (I don't really care about coordinate accuracy). I also found some libraries online that use Timers and implement so...",due 2 months ago
Apple Watch - Audio Recording & Transcription App,$45.00,"4,500",0FJAKE,Open,"Summary A simple app for the Apple Watch using OpenAI Whisper. Problem Description I want to be able to go for a walk without my phone, with only my apple watch, and my airpods, and to be able to open an app on my apple watch, connect to my airpods, press a record button on the watch, and begin recording audio that will be accurately transcribed, using OpenAI's Whisper. That should then be available to me for reading back later. I should be able to access the transcript later on my laptop or iPhone and do not need to be able to access it on my Apple Watch, only to be able to record it on there and see that it is successfully recording and was successfully recorded once done. Acceptance Criteria I want an app on my Apple Watch that I can open to record a dictation, as described above. I need to be able to access the transcript afterwards on my laptop (and optionally, on my iPhone), ideally via a website I can access on desktop or mobile. I should be able to delete the transcripts once...",due 3 months ago
Unity IOS game architecture documentation,$45.00,"4,500",a-allen,Open,"I have a client whose IOS/Android game was built in Unity and is needing some of the random number generator algos completely rewritten or updated to adhere to GII-19 specifications. I am not an expert in Unity so I am looking to partner with an expert in this field. This bounty is only to provide an architecture overview of the codebase so I can propose some areas of improvement alongside the algorithm updates to my client. If I can find the right engineer off of this site then I will be engaging them in future work which will include multiple updates to the codebase as well as the aforementioned algorithm updates. Acceptance Criteria Provide a written document that outlines the current architecture of the application, notable files, and how they fit and work together. Isolate and document all of the algorithms that power the game so I can better understand how they were built and what would need to be done in order to port them to compliant spec. Technical De...",due 6 months ago
Build a web tool that will perform Conversion Rate Mix Analysis based on multiple inputs,$45.00,"4,500",DavidEagan1,Open,"For a website that has traffic coming from many sources, need to understand what is impacting conversion rate. Is it actual performance of the site, or mix between several different vairables Build a web tool where a user can plug in the below variables and recieve an output for the results Variables includes are date: day region: americas, apac, europe, other shopper: new or repeat device: desktop, mobile web, tablet, iOS, Andoid, other Marketing channel: direct web, direct app, semu, semb, paid, seo, meta, affliates, social, CRMs, CRMm, unknown here is a simple version of this done with only a few factors https://www.goodmarketing.club/guide/how-to-explain-channel-conversion-rate-change-with-mix-rate-bridging-analysis/ Analysis needs to be done on a YoY basis to account for seasonality Analysis needs to be able to be done last 7 days and previous 7 days to understand what changed week to week Acceptance Criteria Technical Details Link to Project",due 8 months ago
SwiftUI mobile app - interactive calendar view,$40.50,"4,050",hp2sm78cp6,Open,"I'm building a gratitude SwiftUI app. I want a calendar view which will create a calendar that will change calendar day colour each time a user completes a gratitude entry for the day. Acceptance Criteria The sooner, the better",due 9 months ago
Creating a Custom Stylized Node for Mindmap Application,$27.00,"2,700",promptwhisperer,Open,"Adding a dropdown textbox https://public-photos-123.s3.amazonaws.com/dropdown_text.png You should implement a new custom nodeType (https://reactflow.dev/docs/guides/custom-nodes/) that contains the drop down feature. The relevant place in the repo is here: https://github.com/JohnPeng47/KongUI/blob/cc10416d12737b3ca76f429ad2b6cf97296861ce/src/components/node/DataNode.tsx#L13 What the dropdown box should do is just display the static text within node.data.description. Currently, all of the node data is read from a JSON file included in the repo and then converted into ReactFlow nodes. The code for ingesting the JSON is here: https://github.com/JohnPeng47/KongUI/blob/cc10416d12737b3ca76f429ad2b6cf97296861ce/src/data/processJson.ts#L23 Adding on hover connection https://public-photos-123.s3.amazonaws.com/branching_nodes.png Okay so what you should do here is: add an on hover effect over a node, that displays all of the hidden children by clicking on a hidden children,...",due 3 months ago
One Click Auto Sign up for events,$27.00,"2,700",eli124,Open,"It's too time-consuming to manually sign up for a long list of social events especially during conferences with dozens of side events. The different events use different event apps but the most popular ones are: Luma Partiful Eventbrite Acceptance Criteria Build an email tool that intakes a list of event urls, and auto-fills my personal details for each event, signs up/registers, and sends me a google calendar invite to my email for each event (Lu.ma automatically sends calendar invites, partiful you can press the add to google calendar button once your invite is accepted by the event host ). Technical Details Create an email tool that auto-fills your personal details that you use by sending an email with event URL links including CSV attachments (or google sheets URL) that scans and detects any of the event platform domains within the attachment as well as any link in the body of the email either consisting as a single event link or as a link containing multip...",due 5 months ago
Supabase RLS RBAC policy review,$22.50,"2,250",piraka9011,Open,"I have setup Supabase for a web app that has login and auth built in with roles + permissions setup. I now need someone to revise the RLS policies I setup to make sure they are in accordance with the business logic of my application. I have a notion doc + tables with has all this documented, including examples. Acceptance Criteria Verify that there are no gaps in the RLS policy definitions by checking the created SQL and testing via the API. Technical Details Knowledge of Postgresql policies and supabase is a must. Link to Project Will share notion doc with specs and requirements once bounty accepted.",due 5 months ago
Type-Safe Data Storage needs easier types,$22.50,"2,250",Fictionalized,Open,"I need someone to modify some code to make it easier to create inputs. I have a storage system on my App, which has two inputs. I want it to be easier to provide inputs. What you'd need to do is make the demonstration schema work, and have the ability for us to add more using the arrays and dictionaries. Technical Details It requires a lot of Type-Safety, and uses Zod for schemas, so apply if you are familiar with advanced typescript There are two files The store (89 lines of code) [this is what would be modified] The demonstration file (33 lines of code) which demonstrates what should be done. If you're interested, add me on discord, and I can show you the project.",due 5 months ago
SEC EDGAR Database,$16.20,"1,620",eshippole,Open,Extract company data and filings from the SEC EDGAR database. Build a database using up-to-date scraped data. This data will be used for factual grounding. The text should be extracted and indexed into Elasticsearch to build a vector store of embeddings. Create a FAISS index as well. Acceptance Criteria A python script to: Scrape filings every x amount of minutes (or hours). Upload documents into an S3 or GCP bucket. Extract text and index into elasticsearch. Create embeddings. Create a FAISS vector database with embeddings as well. Data should be easily accessible using an API call.,due 10 months ago
Retrieve new Bing Cookies when invalidated,$9.00,900,NOOB-FORFOR,Open,"The mass list of rejected people are those who have failed to finish in time or failed or just didn’t have the time to work on it If you claim to have the code finished when applying please provide a recording or even better the code itself for me to test out. Why? I’ve had 4 separate people do this and it’s just some code that clearly won’t work, written by ChatGPT Problem Description cookies from bing get invalidated after about 15 days, I have the code to retrieve the bing cookies (will be provided when accepted into the bounty), but it doesn't check for things like if the Microsoft account doesn't have the security email, or if prompted for a phone number, email code, those sort of things. Acceptance Criteria check if the cookie(s) are invalidated then retrieve new ones if they are invalidated, the cookies that I need are _U and SRCHHPGUSR add improvements to the code (as specified in problem description, can't handle the phone prompts, emails, etc so add a way for it to detect...",due 2 days from now
"Create SEO Score analyser, SERP analyser, SEO keywords Analyser. {Pricing after talks}",$4.50,450,TeamQuery,Open,"I need SEO Score analyser, SERP analyser, SEO keywords Analyser to analyse the content generated on my website (trolly.ai). So that users can easily add suggestions, analyse their content & optimize for google ranking. all these features are on following sites, seo.ai neuronwriter.com text.ai Technical Details Should know in-depth technical stack. NLP, etc The price added right now is random, We can negotiate on pricing.",due 3 months ago
MacOS Tray Utility App,$900.00,"90,000",stephen42,Open,"Create a macOS tray utility app with speech-to-text and text-to-speech functionalities using the OpenAI APIs and ensure seamless, simple user interaction. Here's a detailed project plan incorporating the relevant resources: Setting up the macOS Tray App Begin by creating a macOS menu bar app, which requires adding a status item (NSStatusItem) to the menu bar to represent your app. Ensure that the dock icon and main window are hidden, as the app will function from the menu bar. The status item should be equipped with a menu to offer the app's functionalities upon interaction. Only UI On click/click+hold/hotkey, the app records audio from microphone. Integrating the Whisper API After capturing audio, use the Whisper API for speech-to-text conversion. Integrating the GPT-4 API Next, feed the transcribed text into the GPT-4 API Integrating the OpenAI TTS API The output from GPT-4 is then passed to the OpenAI TTS for text-to-speech conversion, turning the text back into audio. Playi...",due 1 day ago
Web App for 3D Model Analysis and Visualization,$585.00,"58,500",YazanMoghrabi,Open,I would like to create a web app that lets you upload a 3D model (revit or ifc or dwg file extension) and be able to do a series of measurement calculation scripts on the model and present the results in a simple manner for review. I would like to integrate the app web with the Autodesk Platform Service : for example the the viewer SDK:https://aps.autodesk.com/en/docs/viewer/v7/developers_guide/ Here are some additional examples: https://aps.autodesk.com/code-samples,due 2 weeks from now
Custom API Integration: GoHighLevel<>HouseCallPro,$450.00,"45,000",JenniferCalhoun,Open,"Need 2 way data sync between GoHighLevel & HouseCallPro (both have open API and webhooks) Additional details for the project can be viewed here: https://gijunknw.notion.site/GHL-HCP-Syncing-Plan-79f4f0b67815441ca39cc8d7892d9c49?pvs=4 Acceptance Criteria 2 way sync of Customers, Opportunities, and Appointments between the 2 systems. Preference for someone who is well versed in GHL and how it works. Would like to have it completed within about a week.",due 2 months ago
"Django AI web app (trial project, further work available)",$405.00,"40,500",DmitriMirakyan,Open,"The product: a basic ‘quiz’ style product. Users answer a number of questions. The inputs are sent to an existing endpoint which then returns an AI-generated response. A version of this product exists in low-code, but we’d like to migrate it to a full-stack application. What we already have: AI product back-end (receives user inputs, returns responses) Stripe Firebase What we need: Django back-end React Native + Tailwind front-end, compatible with Web and Android. Flexible on which Javascript framework we use. Integrations with Stripe, Firebase, Data tables + analytics Results compatible with Android and Web What we need: Ideal candidate will be based in Latin America, Europe or Africa due to time-zones, and be open to ongoing work at 10+ hours per week. If the project goes well - we’d love to hire someone for further development and maintenance on a part-time (5-20 hours per week) basis to support this and other products.",due 2 days from now
AI chatbot & travel API integration into Bubble template,$270.00,"27,000",DavidBell20,Open,"We have the front end of a travel site fully built in Bubble. Need to populate it with real flight & hotel data whilst using new GPT Assistants API and Duffel API. Acceptance Criteria Fully working integration of GPT Assistants API, Duffel API and passing that data back and forth from Bubble to GPT. Technical Details Flow is that from Bubble front end, the user chooses departure, destination, no. of travellers & dates. That information will trigger the Assistant and create a starting Thread (https://platform.openai.com/docs/assistants/overview) GPT will then make a call to this API using Replit to find Flights & Stays: https://duffel.com/docs Initial list of results are passed to Bubble via JSON. The user then chats within Bubble to filter results more (amenities, flight times etc), which in turn passes back to our GPT agent, adding messages to the thread. GPT queries Duffel API again to get better results which are passed back to Bubble and the cycle contin...",due 2 days from now
Reverse Engineer Android/iOS App,$261.00,"26,100",HeshamGhandour1,Open,"Reverse engineer, expose api calls for login, and identify method of encrypting and generating payload and header variables. It has to be the bank app's latest version. App: https://play.google.com/store/apps/details?id=com.liv.android&hl=en&gl=US https://apps.apple.com/us/app/liv-bank/id1231846103 Acceptance Criteria A script that takes ""username"" and ""password"" and generates a post request to the bank login API endpoint without errors.",due 2 months ago
AGI/AI for Sales prospecting/Outbound Reach/Scheduling tool for Tech Sales team,$252.00,"25,200",JeffreySantana1,Open,"Auto-GPT/AGI/AI Tool for prospecting specific customer criteria via outbound reach out via Email /LinkedIn/Twitter/Instagram/WhatsSap a generate custom customer messaging connected with CRM, like HubSpot, FreshWorks and streak validate prospects engagement, schedule a meeting with calendy.com or cal.com, A.K.A Lead generation. Acceptance Criteria 1-Design a message criteria to reach out to prospects based on a given prompt or ICP(Ideal Customer Profile). 2-Outbound Reach via Email/LinkedIn/WhatsApp/Instagram using using Designed messaging criteria 3-Based on customer/protects engagement with message setup a call to action to schedule a call to demo a product. Technical Details 1-Connect with third party CRM, like HubSpot. 2-Connect with Social Platforms or Messaging platforms/LinkedIn/Email/WhatsApp/Instagram APIS to reach possible prospects/customers",due 6 months ago
Kubernetes Operator Livenessprobe feature added to Deployment,$225.00,"22,500",d3287t328,Open,I want a Livenessprobe added to a CRD operator written in Go. You should have Go Operator experience already. Acceptance Criteria It must build and run on a local Kind cluster reliably. Technical Details A zip file of the source will be provided to you. You must use kind for local development. Link to Project Contact me on discord. My server is https://discord.gg/fP8dQqxBhZ,due 4 months ago
Simple native Salesforce.com app,$203.40,"20,340",MattMattox2,Open,"Native Salesforce application that enables users to manually place contacts associated with an account in a 2x2 matrix that will help teams better understand the relationships between how much of a champion a contact is vs their influence on the purchase decision. Project Overview: The 2x2 matrix will have two axes: Level of support for our solution: Amount of influence on purchase decision: Key Functionality: Retrieve all contacts associated with a specific account from Salesforce. Allow users to manually place each contact onto the matrix by dragging and dropping them into the appropriate quadrant. Save the positions of the contacts in the matrix, so the user can return to the visualization later and make updates as needed. Technical Requirements: The application should be built as a native Salesforce application using Lightning Web Components (LWC). Utilize Salesforce's API to interact with contact and account data. Comply with Salesforce's security standards.",due 6 months ago
AI News Aggregator & Tweeter,$180.00,"18,000",DeepView,Open,"We're looking to build an automation tool that will monitor an RSS feed specifically for AI news. When the tool identifies an article that meets our predefined criteria and hasn't been previously shared, it should extract the essential details from the article, condense it into a one-line descriptive header, and tweet it. A minute after the initial tweet, the tool should post a reply to that tweet with a direct link to the full article. This solution aims to deliver real-time news updates to our X followers in a concise and efficient manner. Acceptance Criteria RSS Monitoring: The system must continuously monitor an RSS feed for new AI news articles Duplicate Prevention: The system should be able to identify articles that have already been shared to avoid reposting Importance Evaluation: An article should only proceed to the next steps assuming it's passed an evaluation that deems the contents as trusted Content Extraction: Once a new article is identified, the sys...",due 2 months ago
AI Prompt Marketplace,$180.00,"18,000",MattTrot,Open,A top Bounty Hunter will create a promptbase.com clone limited to following functionalies: Main page Marketplace (list of prompts) Prompt detail page Secure user authentication with email/username and password User Dashboard Integration with Stripe Sumbit prompt page Scope and price are negotiable once you submit your request.,due 5 months ago
Create OpenAI ChatGPT Plugin,$180.00,"18,000",effectgroup,Open,"Job Description: We are seeking a skilled programmer to join our team to develop a plugin that integrates OpenAI's ChatGPT with the Global Database API. The successful candidate will have a strong understanding of AI, specifically OpenAI's GPT-3 & 4 model, and experience working with APIs. Responsibilities: Develop a plugin for OpenAI's ChatGPT that connects to the Global Database API. Write clean, maintainable, and efficient code. Collaborate with our team to define, design, and ship new features. Ensure the performance, quality, and responsiveness of the plugin. Identify and correct bottlenecks and fix bugs. Help maintain code quality, organization, and automatization. Qualifications: Proven experience as a programmer or relevant role. Knowledge of AI, specifically OpenAI's GPT-3 & 4 models. Experience with API integration. Ability to work in a team and individually when required. Excellent problem-solving skills. Strong communication skills. About Us: Effect.International is a...",due 6 months ago
Excel add-in for revenue analysis,$180.00,"18,000",TimothyBlomfiel,Open,"I have an Excel template - there's an input tab with revenue by customer by month. I'm looking for some help to automate the output through an Excel add-in. All the output tabs have been pre-populated; there's a little bit of nuance around making the output tabs dynamic based on the input data. Acceptance Criteria A successful project will be one where I can install an excel plug-in, upload a flat file (csv for xls) with revenue data, and then all the specific tables and charts will be automatically populated.",due 6 months ago
AI Marketing Plan Generator That Lives On Word Press.,$180.00,"18,000",AdrianHunter2,Open,"Consultants often face the challenge of creating an effective marketing strategy that not only captures the attention of the target audience but also aligns with the company's goals and objectives. To achieve this, they must conduct thorough research to understand the market, competition, and customer needs. However, the challenge arises when trying to balance the client's vision with data-driven insights, leading to a cohesive and actionable marketing plan. Additionally, consultants must constantly adapt to changing market trends and consumer behaviors to ensure their marketing strategies remain relevant and effective over time. I would like to create StratBot. StratBot would leverage natural language processing and machine learning algorithms to guide consultants through the process of creating a marketing strategy. The chatbot would start by asking the consultant a series of questions about the client's business goals, target audience, competition, and budget....",due 8 months ago
Mac Automation for Quicktime Image Sequence conversion,$180.00,"18,000",phraktle,Open,"Create an Automator Quick Action that uses the Quicktime Player ""Open Image Sequence"" function to convert the selected folder with an image sequence (numbered DNG files) and saves it as a 25fps ProRes video. The audio track, stored as a single WAV in the same folder, should be added using the Quicktime Edit > Add Clip to End function. Acceptance Criteria The action runs on a folder of image sequences and produces a playable ProRes video with sound on Mac OS Ventura. Notes The recent versions of QuickTime no longer exposes the ""Open Image Sequence"" function to AppleScript, so an alternative approach will be needed. FFmpeg is not an option either as it doesn’t handle the DNG files properly (unlike QT).",due 9 months ago
LLM writing editor,$135.00,"13,500",ajitadori,Open,"### Problem Description Build an editor that gives feedback on essays using API calls to ChatGPT and the free Grammarly SDK. After pasting or typing in the essay, the user should be able to click a button that says ""proofread"", and there will be parts of the text highlighted with different colors corresponding to the different types of feedback as well as a section with general feedback. ### Technical Details Here is the flow for a user editing a piece: - Write / paste text into console - Click ""Proofread"" - Comments appear to the right alongside text highlighted in specific colors - General comment on the essay is reflected in the highlighted title - Input limit should be 3000 words and flagged if extended beyond # Acceptance Criteria - An easy way to change the prompts corresponding to highlights - Should enable easy modification of the LLM API (e.g. to swap between ChatGPT and other LLMs) as well as the exact prompts used for feedback - A live instance of the website should be...",due 7 months ago
Tik Tok to Airtable,$112.50,"11,250",PaulG13,Open,"I need 3 different Airtables: a way to display videos selected (provide link for example) and display like this Airtable: https://airtable.com/shrGAS9WKQF02yAK8/tblN1TA7Q6QEfHqnl scrape specific accounts once a day and display in airtable. Important here is to download the videos without watermark and add them to google drive. Top 200 Videos by Hashtag in given timeframe (like last 3-7 days), similar Airtable structure as in 1 & 2 Acceptance Criteria I need it exactly as described above",due 8 months ago
aws cross account access for users federated via azure AD,$108.00,"10,800",xxyjoel,Open,"as a federated user who is authenticated via sso with 2FA enabled i need to be able to switch between aws accounts within an aws organization. e.g. a federated user needs to assume role A in master payer account (account #1) and role B sub-account (account #2). Acceptance Criteria trust relationships must be defined (or checked) between role A and role B user does not have to assume a role via the cli; federated user in question can swap back and forth between role A and role B script can be run locally, or from within the sub account (account #2) Technical Details users are authenticated via sso through azure active directory 2FA through duo role A in account #1 is responsible for collecting data across sub accounts; it is read only role B in account #2 will be responsible for running the script; order of operations: federated user (or an application) assumes role B, role B assumes role A, role A gathers all necessary data, federated user (or an application) ass...",due 10 months ago
ChatGPT Plugin For Home Improvements/Fixing,$99.00,"9,900",iwatalauren,Open,"I'd like to create a ChatGPT plugin where you ask questions on how to build/fix things DIY in your house. This should use the Home Depot guides and other guides, embed them via Operand or something, and feed that to a chatGPT plugin. I will give plugin access if needed. Acceptance Criteria A ChatGPT plugin that can answer questions on home DIY projects. Technical Details Use embeddings to embed Home Depot pages. Use Operand.ai for this. Create a ChatGPT plugin that uses these embeddings.",due 6 months ago
Technological Architecture for MVP,$99.00,"9,900",HoneyBadgerEth,Open,"Currently, we are finalizing the technical architecture and stack of our MVP. The userflow has been developed in detail, and we are looking for an experienced developer to create a top level architecture diagram (50,000ft view, plus detailed in some places, 50ft view). We would use the architecture as the basis to define different phases of development. We would like to work with someone starting with this part for a longer period of time. Acceptance Criteria Full stack developer with 1) Previous experience in marketplace development 2) Previous experience developing a product with an orderbook mechanism 3) Previous experience in creating top level and detailed technological architecture",due 9 months ago
"Ability to store anything(text, image or video) to any blockchain(configurable)",$98.10,"9,810",VijayanSwaminat,Open,"Secure storage. Storage is permanent. Ability to store securely on blockchain. Acceptance Criteria Well documented code and readme for all pieces of code - considering future management Ability to store to any blockchain network (ARB, ETH, BSC or Others) A crystal clear React front end - that is crisp and clear Allows any type of data(text, image or video) and any size to be stored on blockchain Data can be stored on IPFS or other similar blockchain storage techniques that is not erasable. Backend: Well defined backend APIs that are fully secured A second react frontend to be able to govern the data uploads to blockchain (an admin dashboard) Error free and bug free. Easy to deploy. Alchemy(https://www.alchemy.com) and Rosetta SDK (https://www.rosetta-api.org) is highly recommended A unique url for each stored transaction needs be available in the TX details. A TX can have multiple files, text or image. 11.All source code should be fully downloadable and free of any...",due 8 months ago
Hack or make a shopify subscription app with custom features,$90.00,"9,000",jaydeepsachdev,Open,Our current site is on scentandco.com using woocommerce. It's a nightmare to manage. We wanted to move to a subscription app on shopify or make our own app that can do the following: changing products each month A subscription calendar Product +5/10 Skip a month and change frequency Quantity change Payment plans All explained in the video here: https://www.loom.com/share/ab0fdb67898b4c8c99a1a659c1750255 Acceptance Criteria Experiance building shopify apps And/Or message us with a plan and timeline. We'll hire you if we like your plan! =) Timelines / Milestones 1 week,due 2 months ago
Thomas.net Complete website scrap,$90.00,"9,000",TanerSalci1,Open,"I need all suppliers websites, main phone, main email, personal phone (if any in about us section), owner email (if any in about section), Contact us form link, Saved on csv I want to scrape everything on this website of companies over 5mil revenue if mentioned otherwise scape : https://www.thomasnet.com/network/ here is a video How I want it scraped: https://drive.google.com/file/d/1ut6vveP2wGsCq0x061aeLkj_KxTWYIeA/view?usp=sharing Need copy of program, need it to scrape fast. We can get a vps if need",due 3 months ago
Swift e-commerce app - Working on marketplace functions with (Stripe/Shopify/Square),$90.00,"9,000",rlvntapp,Open,"We have a minimal code base for our e-commerce app already. We need an experienced developer to help us with the marketplace functions and dealing with user transactions via Stripe through Shopify and Square. A more detailed run down of what we are looking for is as follows: Description: This page will be the page that the user will be able to purchase the item from (ideally swipe to purchase UI function) This needs to be pop up similarly to the current implementation of the purchase page, yet will have actual functionality and connect to Shopify, use stripe, etc. The UI for this is mostly complete, but the functionality is not. The majority of this section comes with working with stripe and Shopify. Shopify also needs to be updated automatically to the backend of our application. We need a shipping calculator that can provide live updates regarding a package and its location (via UPS, FedEx, and other API's). Goals: To have a fully operational purchase page within the app that...",due 3 months ago
Automatically Identify Errors in Tables and Charts,$90.00,"9,000",tvdatageek,Open,"Goal = Identify errors in tables in powerpoint presentations automatically. Looking for a thought partner to help: identify the best LLMs to process and interpret data in tables of data understand how rows and columns related to one another. .e.g., column A = Revenue, Column B = Cost, Column C = Income. Must understand that mathematical relationship Identify any time numbers do not tie together. Should be able to state if a given row or column may have an error in it (optional) deploy this as a powerpoint plugin",due 4 months ago
Fitness + Rewards + Points App (Teach me everything I need to know),$90.00,"9,000",bagdaddy,Open,"Happy to pay on an hour basis, please share your rate. Problem Description Would like someone to teach me everything I need to know and understand to build a hybrid fitness app that rewards users with points that they can use to get deals and offers or prizes from local vendors and businesses. To be clear, at the moment, I'm not looking for someone who can teach me to code, but to teach me what are the ingredients required and best way to go about building this. Acceptance Criteria Looking for someone: Who is patient and can teach me about all the buildings blocks required and best way to go about building this. Fluent in speaking and communicating in English. Able to accommodate GMT+3 time zone. Able to speak to me over a video call or screen sharing call. Able to dedicate a couple of hours for this over the period of a week or two. Technical Details The app should be: Available on iOS + Android Easy and friendly to use. Has an authentication layer for users Integrates with fitn...",due 4 months ago
Discovery for AI-Website Feature,$90.00,"9,000",decentracam,Open,"The current process of job application is time-consuming and often frustrating for job seekers. It involves manual search, completion of application forms, and customization of resumes and cover letters for each job. There is also the need to keep track of all their applications. Acceptance Criteria: The solution must automate and streamline the job application process for users, while adhering to the following criteria: Match users with suitable job postings based on non-confidential data. Interface with third-party job posting platforms. Auto-fill application forms using generic user information. Customize application materials for each job, subject to individual platform requirements. Provide a tracking system for user applications and updates on their status. Ensure user privacy and data security in compliance with relevant regulations. Provide an intuitive and user-friendly interface. Undergo rigorous testing for functionality, security, and ease of...",due 4 months ago
Transfer existing frontend Typescript logic to Typescript Backend (web3),$90.00,"9,000",KeKs0r,Open,"Domain Context There is decentralized exchange called osmosis They allow users to exchange their cryptocurrencies User can also lock funds into it to receive rewards The amount of rewards changes frequently based on multiple factors Example to see on this pool: https://app.osmosis.zone/pool/1 Total Reward is 21.9% APR consisting of: Superfluid Staking: 4% Incentives: 14% Swap Fees 2% Task The code how these numbers are calculated is open source in the frontend repo of osmosis: https://github.com/osmosis-labs/osmosis-frontend It is implemented in mobx, which cannot really be used in the backend. The logic and models within mobx however can be used. This means model classes e.g. from @osmosis-labs/pools can be used however the package @osmosis-labs/stores is tied to how stores in mobx work, so it should not directly be used. The logic how to derive the APR from the raw data is in there though. We want to port this logic to a more functional app...",due 5 months ago
Typescript + Langchain + HuggingFace,$90.00,"9,000",itsalidoe,Open,"Create a typescript langchain app that takes 10 transcripts from a folder, creates embeddings for them with huggingface + langchain, stores them into a supabase postgres vectorDB and then queries this data to return a summary of summaries with GPT. I can provide you with the 10 transcripts. Acceptance Criteria Input: The app should be able to read 10 transcripts from a specified folder. Embeddings Creation: The app should use HuggingFace and Langchain to create embeddings. Storage: The app should store the generated embeddings into a Supabase PostgreSQL VectorDB. Querying Data: The app should be able to query the stored embeddings data from the VectorDB. Summary Generation: The app should use GPT (Generative Pre-trained Transformer) to generate a summary of summaries based on the queried embeddings data. Output: The app should return the generated summary of summaries as output. TypeScript: The entire application should be written in TypeScript. Documentatio...",due 6 months ago
